ID,X,Y,Z,R,G,B,PART
FF81E0552C0FA8EA,3.13,-8.05,30.40,0.13,0.20,0.51,BODY
91A97DEBA466D2FD,5.75,-7.71,30.60,0.09,0.13,0.39,BODY
EF344ADE6E0C2598,-6.54,-8.17,30.00,0.42,0.11,0.32,BODY
F95AF2A6E520B5B2,-4.44,-8.04,30.20,0.32,0.05,0.26,BODY
BAF8DAE46B7D187E,-1.81,-7.86,30.40,0.14,0.19,0.49,BODY
49C2F187368CD748,0.05,-8.00,30.60,0.11,0.21,0.49,BODY
0D6D7C060A80DAF6,2.70,-8.08,30.00,0.16,0.19,0.48,BODY
302142C646A2FEBA,4.81,-7.87,30.20,0.11,0.27,0.58,BODY
68416BA728081E73,7.12,-7.70,30.40,0.19,0.32,0.61,BODY
758F19AF6CDA01E1,-5.13,-7.65,30.60,0.49,0.09,0.36,BODY
0B372756915FF048,-2.78,-7.81,30.00,0.15,0.21,0.55,BODY
50291E1EAC5FF92D,-0.46,-8.00,30.20,0.11,0.22,0.50,BODY
9B9A40EB75974EC5,1.98,-7.72,30.40,0.13,0.17,0.48,BODY
3326EA1BE41A150C,4.43,-7.84,30.60,0.11,0.24,0.54,BODY
D15CABFC8EC5DD3C,6.60,-7.56,30.00,0.16,0.20,0.52,BODY
34FC51B4463EF19D,-5.30,-7.54,30.20,0.57,0.13,0.44,BODY
07227BF2B11E8EE6,-2.90,-7.71,30.40,0.45,0.16,0.39,BODY
DB2F473FCC29E57C,-0.38,-7.66,30.60,0.12,0.25,0.55,BODY
E81BE166AF1BF854,1.94,-7.84,30.00,0.13,0.17,0.46,BODY
7B78C7AD62ADEE17,4.03,-8.08,30.20,0.13,0.30,0.58,BODY
752DAA4B6FCCA202,6.25,-8.02,30.40,0.11,0.13,0.40,BODY
7B20EA0963D3B392,-6.02,-7.84,30.60,0.49,0.11,0.40,BODY
014147CE30207BD4,-3.38,-7.46,30.00,0.22,0.04,0.17,BODY
58989ECF0BC4A994,-1.33,-7.60,30.20,0.13,0.22,0.52,BODY
1BD9CED80A151DB9,1.15,-7.60,30.40,0.15,0.19,0.47,BODY
64F6E08AA9D92D61,3.26,-7.65,30.60,0.11,0.22,0.50,BODY
6509DD9957A8AE61,5.78,-7.56,30.00,0.08,0.11,0.36,BODY
B2195AAE4120B272,-6.26,-7.79,30.20,0.44,0.12,0.34,BODY
DED44BDE613E7D18,-3.93,-7.58,30.40,0.22,0.02,0.16,BODY
994A5BC408BC0AAB,-1.75,-7.53,30.60,0.15,0.20,0.52,BODY
602D8AE67DEC638D,0.87,-7.86,30.00,0.14,0.18,0.47,BODY
74AFE65E4352E592,3.24,-8.00,30.20,0.13,0.20,0.48,BODY
FA33BDE64DE88515,5.25,-7.94,30.40,0.07,0.10,0.34,BODY
29D674380AEA3616,-6.85,-7.51,30.60,0.43,0.09,0.33,BODY
829D8918145C6C2A,-3.96,-7.81,30.00,0.29,0.05,0.26,BODY
