ID,X,Y,Z,R,G,B,PART
2F8B0C745C794565,-2.10,-9.91,30.00,0.70,0.67,0.69,BODY
5DA7381D5F30CC7C,-1.25,-9.84,30.20,0.71,0.71,0.71,BODY
0FCB30E1BFDAE655,-0.13,-9.66,30.40,0.73,0.69,0.69,BODY
6ECCFFEC06966DA5,1.16,-10.08,30.60,0.67,0.64,0.62,BODY
1398315EE8E268BC,2.51,-10.12,30.00,0.81,0.78,0.78,BODY
ECC5BE4584941867,-3.57,-9.72,30.20,0.58,0.57,0.58,BODY
B3177459B0FD0A65,-2.03,-10.08,30.40,0.70,0.69,0.70,BODY
D23BFDF5B1D763DC,-1.42,-10.03,30.60,0.72,0.71,0.71,BODY
2735F09C0BFE14CA,0.08,-9.66,30.00,0.74,0.71,0.71,BODY
8F5044B6121CB273,1.22,-9.63,30.20,0.61,0.60,0.58,BODY
5F5FEE7BC934097F,2.62,-9.88,30.40,0.82,0.79,0.78,BODY
0BD8A42F3D8D41C4,-3.54,-9.49,30.60,0.55,0.54,0.55,BODY
DF910B5FB9EF5740,-2.24,-9.69,30.00,0.68,0.67,0.68,BODY
239ECC9A301C59B7,-1.34,-9.94,30.20,0.74,0.73,0.71,BODY
260E5C0C19EAC070,-0.47,-9.83,30.40,0.74,0.73,0.71,BODY
8D2913E923B91C9D,0.82,-9.79,30.60,0.52,0.49,0.48,BODY
C59BCA2A950421B0,1.90,-9.65,30.00,0.82,0.78,0.76,BODY
239D6C76763C862C,-3.96,-9.54,30.20,0.52,0.52,0.52,BODY
8AF3761069B529E0,-2.65,-9.90,30.40,0.65,0.64,0.65,BODY
5F35249BA380381B,-1.38,-9.77,30.60,0.73,0.71,0.71,BODY
85884134023B2731,-0.36,-9.91,30.00,0.74,0.71,0.71,BODY
CE811D35575C5B75,0.52,-9.41,30.20,0.73,0.69,0.75,BODY
0F8007FF3DD50E88,1.52,-9.53,30.40,0.74,0.73,0.71,BODY
26E39F2D3445758F,2.91,-9.67,30.60,0.87,0.92,0.91,BODY
DB022992C7C3F035,-3.13,-9.72,30.00,0.60,0.60,0.60,BODY
C43A9210E773DA96,-2.35,-9.80,30.20,0.71,0.70,0.71,BODY
66E3B0EFA2E09A78,-0.81,-9.37,30.40,0.74,0.73,0.71,BODY
459F9464716EFDDC,0.21,-9.91,30.60,0.74,0.73,0.71,BODY
65AE24C8DC67CFF1,1.07,-9.87,30.00,0.61,0.60,0.58,BODY
A88BC1D39E4150F4,2.42,-9.85,30.20,0.84,0.81,0.81,BODY
6BB9392D213FCD78,-3.60,-9.61,30.40,0.55,0.55,0.55,BODY
9493E5B1D5523E2A,-2.75,-9.33,30.60,0.70,0.69,0.70,BODY
F3C24C2902F3B117,-1.28,-9.89,30.00,0.73,0.72,0.71,BODY
43E72A84C4195C5C,-0.46,-9.71,30.20,0.75,0.73,0.72,BODY
EFA02D1519047F5B,0.91,-9.61,30.40,0.48,0.46,0.45,BODY
61226021BB841C96,2.08,-9.64,30.60,0.81,0.78,0.78,BODY
117A94EFF9D90082,-3.92,-9.52,30.00,0.55,0.55,0.56,BODY
02143F578F49F1E2,-3.21,-9.73,30.20,0.62,0.61,0.62,BODY
B7E18BB08CCF0BF3,-1.88,-9.81,30.40,0.74,0.73,0.71,BODY
F420A57971A4B011,-0.88,-9.68,30.60,0.71,0.71,0.71,BODY
081756A7805B886B,0.23,-9.47,30.00,0.76,0.75,0.73,BODY
BAC7CDA06AD1C304,1.51,-9.45,30.20,0.71,0.68,0.68,BODY
C8C51FDBC5C93937,2.80,-9.79,30.40,0.85,0.80,0.81,BODY
4946093B7055530D,-3.42,-9.80,30.60,0.55,0.56,0.55,BODY
004F848E585810FE,-2.73,-9.59,30.00,0.69,0.67,0.69,BODY
04545BA7C3872B62,-1.44,-9.31,30.20,0.73,0.72,0.71,BODY
902AF376593907E5,-0.20,-9.26,30.40,0.75,0.73,0.72,BODY
951FAA425639C8A1,0.81,-9.52,30.60,0.63,0.62,0.60,BODY
7CDBED929B3D96D2,2.17,-9.26,30.00,0.82,0.79,0.78,BODY
B6E0939A51454BCE,-4.40,-9.29,30.20,0.69,0.75,0.80,BODY
3AD5D4033BE52A1B,-3.23,-9.61,30.40,0.64,0.62,0.64,BODY
FF552198ADE5B2F3,-1.90,-9.50,30.60,0.71,0.71,0.71,BODY
